"","ID","V","I","W"
"2",1001,"V22",2,1
"3",1002,"V22",4,2
"4",1003,"V22",4,2
"5",1004,"V22",5,1
"6",1005,"V22",7,1
"7",1006,"V22",8,1
"8",1007,"V22",11,1
"9",1008,"V22",14,3
"10",1009,"V22",14,3
"11",1010,"V22",14,3
"12",1012,"V22",17,3
"13",1013,"V22",17,3
"14",1011,"V22",17,3
"15",1014,"V22",19,2
"16",1015,"V22",19,2
"17",1016,"V22",21,2
"18",1017,"V22",21,2
"19",1018,"V22",23,2
"20",1019,"V22",23,2
"21",1021,"V22",26,3
"22",1022,"V22",26,3
"23",1020,"V22",26,3
"24",1023,"V22",29,1
"25",1024,"V22",31,2
"26",1025,"V22",31,2
"27",1026,"V22",32,1
"28",1027,"V22",34,1
"29",1028,"V22",35,1
"30",1029,"V22",37,2
"31",1030,"V22",37,2
"32",1031,"V22",42,2
"33",1032,"V22",42,2
"34",1034,"V22",44,2
"35",1033,"V22",44,2
"36",1035,"V22",45,1
"37",1036,"V22",49,4
"38",1037,"V22",49,4
"39",1038,"V22",49,4
"40",1039,"V22",49,4
"41",1040,"V22",54,1
"42",1041,"V22",55,1
"43",1042,"V22",57,1
"44",1043,"V22",58,1
"45",1044,"V22",59,1
"46",1045,"V22",61,1
"47",1046,"V22",62,1
"48",1047,"V22",64,2
"49",1048,"V22",64,2
"50",1049,"V22",65,1
"51",1050,"V22",66,1
"52",1051,"V22",70,1
"53",1052,"V22",71,1
"54",1053,"V22",73,2
"55",1054,"V22",73,2
"56",1057,"V22",78,5
"57",1058,"V22",78,5
"58",1059,"V22",78,5
"59",1055,"V22",78,5
"60",1056,"V22",78,5
"61",1062,"V22",84,6
"62",1063,"V22",84,6
"63",1064,"V22",84,6
"64",1065,"V22",84,6
"65",1061,"V22",84,6
"66",1060,"V22",84,6
"67",1072,"V22",91,7
"68",1071,"V22",91,7
"69",1070,"V22",91,7
"70",1069,"V22",91,7
"71",1066,"V22",91,7
"72",1067,"V22",91,7
"73",1068,"V22",91,7
"74",1075,"V22",94,3
"75",1073,"V22",94,3
"76",1074,"V22",94,3
"77",1080,"V22",100,6
"78",1081,"V22",100,6
"79",1076,"V22",100,6
"80",1077,"V22",100,6
"81",1078,"V22",100,6
"82",1079,"V22",100,6
"83",1084,"V22",103,3
"84",1082,"V22",103,3
"85",1083,"V22",103,3
"86",1085,"V22",105,1
"87",1086,"V22",108,2
"88",1087,"V22",108,2
"89",1088,"V22",109,1
"90",1089,"V22",110,1
"91",1090,"V22",113,1
"92",1091,"V22",116,3
"93",1092,"V22",116,3
"94",1093,"V22",116,3
"95",1095,"V22",120,4
"96",1096,"V22",120,4
"97",1097,"V22",120,4
"98",1094,"V22",120,4
"99",1102,"V22",125,5
"100",1101,"V22",125,5
"101",1098,"V22",125,5
"102",1099,"V22",125,5
"103",1100,"V22",125,5
"104",1106,"V22",130,5
"105",1107,"V22",130,5
"106",1103,"V22",130,5
"107",1104,"V22",130,5
"108",1105,"V22",130,5
"109",1114,"V22",138,8
"110",1115,"V22",138,8
"111",1112,"V22",138,8
"112",1113,"V22",138,8
"113",1108,"V22",138,8
"114",1109,"V22",138,8
"115",1110,"V22",138,8
"116",1111,"V22",138,8
"117",1120,"V22",144,6
"118",1121,"V22",144,6
"119",1118,"V22",144,6
"120",1119,"V22",144,6
"121",1116,"V22",144,6
"122",1117,"V22",144,6
"123",1127,"V22",151,7
"124",1128,"V22",151,7
"125",1125,"V22",151,7
"126",1126,"V22",151,7
"127",1123,"V22",151,7
"128",1124,"V22",151,7
"129",1122,"V22",151,7
"130",1136,"V22",159,8
"131",1134,"V22",159,8
"132",1135,"V22",159,8
"133",1131,"V22",159,8
"134",1132,"V22",159,8
"135",1133,"V22",159,8
"136",1130,"V22",159,8
"137",1129,"V22",159,8
"138",1141,"V22",164,5
"139",1139,"V22",164,5
"140",1140,"V22",164,5
"141",1138,"V22",164,5
"142",1137,"V22",164,5
"143",1146,"V22",170,6
"144",1147,"V22",170,6
"145",1145,"V22",170,6
"146",1143,"V22",170,6
"147",1144,"V22",170,6
"148",1142,"V22",170,6
"149",1154,"V22",177,7
"150",1153,"V22",177,7
"151",1152,"V22",177,7
"152",1150,"V22",177,7
"153",1151,"V22",177,7
"154",1148,"V22",177,7
"155",1149,"V22",177,7
"156",1160,"V22",183,6
"157",1157,"V22",183,6
"158",1158,"V22",183,6
"159",1159,"V22",183,6
"160",1156,"V22",183,6
"161",1155,"V22",183,6
"162",1163,"V22",186,3
"163",1162,"V22",186,3
"164",1161,"V22",186,3
"165",1167,"V22",192,6
"166",1168,"V22",192,6
"167",1169,"V22",192,6
"168",1165,"V22",192,6
"169",1166,"V22",192,6
"170",1164,"V22",192,6
"171",1175,"V22",198,6
"172",1174,"V22",198,6
"173",1173,"V22",198,6
"174",1171,"V22",198,6
"175",1172,"V22",198,6
"176",1170,"V22",198,6
"177",1179,"V22",202,4
"178",1178,"V22",202,4
"179",1177,"V22",202,4
"180",1176,"V22",202,4
"181",1180,"V22",205,3
"182",1181,"V22",205,3
"183",1182,"V22",205,3
"184",1183,"V22",206,1
"185",1184,"V22",207,1
"186",1185,"V22",210,1
"187",1186,"V22",211,1
"188",1187,"V22",215,2
"189",1188,"V22",215,2
"190",1190,"V22",219,4
"191",1191,"V22",219,4
"192",1192,"V22",219,4
"193",1189,"V22",219,4
"194",1195,"V22",223,4
"195",1196,"V22",223,4
"196",1194,"V22",223,4
"197",1193,"V22",223,4
"198",1199,"V22",226,3
"199",1197,"V22",226,3
"200",1198,"V22",226,3
"201",1202,"V22",233,7
"202",1203,"V22",233,7
"203",1204,"V22",233,7
"204",1205,"V22",233,7
"205",1206,"V22",233,7
"206",1200,"V22",233,7
"207",1201,"V22",233,7
"208",1207,"V22",234,1
"209",1208,"V22",236,1
